Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,Beden Seçenekleri: XS - S - M - L - XL - 2XL,Genel,,,,TRUE,,,Beden,XS,,,898707348-tekrenk-XS,0,shopify,10,deny,manual,352,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/39ffe394-984b-383a-832e-e1704ece3694/1_org.jpg,1,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,FALSE,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,Genel,,,,TRUE,,,Beden,S,,,898707348-tekrenk-S,0,shopify,10,deny,manual,352,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,Genel,,,,TRUE,,,Beden,M,,,898707348-tekrenk-M,0,shopify,10,deny,manual,352,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,Genel,,,,TRUE,,,Beden,L,,,898707348-tekrenk-L,0,shopify,10,deny,manual,352,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,Genel,,,,TRUE,,,Beden,XL,,,898707348-tekrenk-XL,0,shopify,10,deny,manual,352,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,Genel,,,,TRUE,,,Beden,2XL,,,898707348-tekrenk-2XL,0,shopify,10,deny,manual,352,,TRUE,TRUE,,,,,FALSE,,,,,,,,,new,FALSE,,,,,,,kg,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/46de102f-0fd9-3a74-b3b2-c7b480ea6305/1_org.jpg,2,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/b87dd821-a704-3fd0-ada0-f3f6d86d06e5/1_org.jpg,3,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1637/prod/QC/20250211/00/1a27422b-8c13-395e-a143-e107dda91039/1_org.jpg,4,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1691/prod/QC_PREP/20250611/13/1c342285-8aec-3b33-b131-f10932641a2c/1_org.jpg,5,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1632/prod/QC/20250206/22/bc11dbd8-d04d-3ab9-aa1d-9b2ff6338b11/1_org.jpg,6,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1656/prod/QC/20250331/23/bda58f6d-dca0-3abb-b024-8d86712d7447/1_org.jpg,7,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1669/prod/QC/20250425/17/92c50859-67d8-3862-9482-cd0c0ca630b3/1_org.jpg,8,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1660/prod/QC/20250409/01/04bc9cf7-70f2-354d-82e3-73ab80c123a9/1_org.jpg,9,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty1677/prod/QC/20250516/22/a33e867a-1862-395e-854e-982eacedd1c1/1_org.jpg,10,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/1200/1800/ty1635/prod/QC/20250211/00/39ffe394-984b-383a-832e-e1704ece3694/1_org.jpg,11,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,
genel-markalar-kadin-yazlik-u-yaka-alti-sortlu-elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/170/247/ty1635/prod/QC/20250211/00/39ffe394-984b-383a-832e-e1704ece3694/1_org.jpg,12,Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise,,,,,,,,,,,,,,,,,,,,